,(),selector,element,element+,selection,selector context,,s
add,,1,,1,1,1,,
addBack,1,1,,,,,,
children,1,1,,,,,,
closest,,1,1,,1,1,,
contents,1,,,,,,,
end,1,,,,,,,
filter,,1,,1,1,,function,
find,,1,1,,1,,,
first,1,,,,,,,
has,,1,1,,,,,
is,,1,,1,1,,function,
last,1,,,,,,,
next,1,1,,,,,,
nextAll,1,1,,,,,,
nextUntil,1,1,1,,1,,,
not,,1,,1,1,,function,
offsetParent,1,,,,,,,
parent,1,1,,,,,,
parents,1,1,,,,,,
parentsUntil,1,1,1,,1,,,
prev,1,1,,,,,,
prevAll,1,1,,,,,,
prevUntil,1,1,1,,1,,,
siblings,1,1,,,,,,
slice,,,,,,,start,end
eq,,,,,,,index,
map,,,,,,,function,
